fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,18,MAHARASHTRA,1812,SANGLI,466842,293.753360892002,30,40,528.737448846,3298,42,13962,516232,26375,7975,525,217,94.86164,2140.047938846,16964,24304,47865,102202,271,317467,557025,17260,1516.44885,181137,86,44.41,0.15,101.07,NA
2024-2025,Nov,18,MAHARASHTRA,1817,PARBHANI,3359692,323.712058058234,39,267,3549.635334086,4336,37,38227,3267478,117084,20962,23999,2920,626.5678,14753.423414486,82853,131242,144396,324619,5393,420450,809950,42563,10577.2202804,1264659,90,57.55,0.11,109.18,NA
2024-2025,Nov,18,MAHARASHTRA,1818,BEED,7329701,334.53097902519,44,569,6605.158263068,3054,64,77584,7798308,126600,15992,16225,1888,868.28779,33561.2021528677,173300,300662,265273,650156,17046,684830,1416805,80638,26087.7560997997,3223231,79,39.36,4.85,330.3,NA
2024-2025,Nov,18,MAHARASHTRA,1821,LATUR,4261434,300.994601415914,50,212,7402.760635148,8469,1,33526,4084571,367163,56017,40178,4227,555.79263,20252.891466148,81350,130415,131895,330058,10218,396580,839701,41995,12294.338201,1616412,88,59.97,0.02,101.5,NA
2024-2025,Nov,18,MAHARASHTRA,1824,AMRAVATI,6203047,286.252450869868,65,1020,12512.251682598,12455,4,46560,6574886,634962,54188,2053946,137723,815.74175,32148.7657494978,100021,187609,191570,536577,20435,473906,1063722,59015,18820.7723168998,2704423,79,40.87,13.6,125.97,NA
2024-2025,Nov,18,MAHARASHTRA,1835,PALGHAR,2681656,273.95726167074,37,733,2927.334062797,11337,19,30666,2590817,9534,1753,2395802,332148,474.09242,10499.157790897,69398,127981,124790,370487,4232,311455,729450,42003,7097.73130810001,1451700,83,17.42,13.45,102.45,NA
2024-2025,Nov,18,MAHARASHTRA,1814,KOLHAPUR,413551,299.340534401611,29,32,268.03170821,1066,186,11703,456810,47693,18456,706,306,94.22586,1729.67506341,15701,25559,46932,113414,437,359417,637848,12769,1367.4174952,184135,92,40.18,0.04,114.28,NA
2024-2025,Nov,18,MAHARASHTRA,1824,AMRAVATI,6203047,283.290215081331,66,1021,12512.251682598,12644,4,46743,6657714,645012,54245,2068957,137799,815.74175,32188.6457426979,100547,188665,191786,537214,20700,473961,1063990,59387,18860.6523100999,2734248,79,41.24,13.46,125.23,NA
2024-2025,Nov,18,MAHARASHTRA,1826,WARDHA,1291054,289.154927880457,47,261,898.228909437,3317,5,13511,1312335,98118,15570,97457,13775,212.40746,4905.317692237,27797,44694,55135,134929,2734,221980,410190,16828,3794.6813228,484422,90,78.24,0.16,101.57,NA
2024-2025,Nov,18,MAHARASHTRA,1828,BHANDARA,5265395,186.009910379453,37,5355,2589.563899665,9982,8,18777,4950762,577493,59290,341678,33206,397.27483,12195.746688965,131008,214285,187992,452630,5742,287540,630999,28759,9208.9079593,3074006,81,23.8,16.67,100.83,NA
2024-2025,July,18,MAHARASHTRA,1809,AHMEDNAGAR,879614,329.703691999577,28,86,576.019558109,3045,91,39334,1050057,59401,31691,39578,24462,115.71484,4153.811095209,36531,60016,144422,417030,1011,766570,1897554,42379,3462.0766971,417163,91,72.61,0.11,105.02,NA
2024-2025,July,18,MAHARASHTRA,1816,JALNA,2204874,295.466920535878,37,273,114.2230466,812,48,51056,3193114,79867,19838,14047,3021,136.07148,9684.89013159999,86042,153352,159893,428043,4455,474802,1071066,51868,9434.59560499999,1298752,76,54.58,0.46,100.35,NA
2024-2025,July,18,MAHARASHTRA,1823,AKOLA,641797,291.806273283239,26,1670,32.1342766,1963,8,25861,1008236,150351,34591,52137,9907,65.96234,3040.1925141,38285,54498,84776,194832,1377,287884,557395,27824,2942.0958975,361015,91,39.25,6.24,108.49,NA
2024-2025,July,18,MAHARASHTRA,1835,PALGHAR,2174266,271.306758300804,34,691,523.070894364,6491,28,32982,2256619,7332,1693,2097833,330296,346.16486,6991.59561046401,64851,119382,123339,368033,3203,306196,721825,39473,6122.35985610001,1301538,82,18.35,21.73,101.67,NA
2024-2025,July,18,MAHARASHTRA,1810,PUNE,197192,326.575824601649,26,34,142.615168761,3204,443,21159,258064,12664,9936,27878,20137,76.10895,1061.498754761,9774,15124,53204,140989,244,376325,808603,24363,842.774636,90451,93,68.04,0.01,105.26,NA
2024-2025,July,18,MAHARASHTRA,1811,SATARA,315403,306.340017159926,31,77,59.73688,1560,453,15138,472030,14551,10886,835,853,32.05665,1537.810313,14757,21952,64667,144517,663,404436,762044,16698,1446.016783,185903,88,67.62,0.35,103.81,NA
2024-2025,July,18,MAHARASHTRA,1822,BULDHANA,624636,300.497811895174,19,124,328.29162388,3965,26,29382,994605,68667,32362,22046,7271,43.65852,3360.71640588,50030,70652,117411,284556,223,481715,1004066,33347,2988.766262,345875,93,40.44,0.99,99.87,NA
2024-2025,July,18,MAHARASHTRA,1823,AKOLA,641797,293.586021720272,26,1669,32.1342766,1963,7,25906,1013247,151296,34623,52297,9903,65.96234,3072.8481741,38391,54676,84793,194879,1400,287950,557492,27869,2974.7515575,362851,91,39.25,6.24,108.59,NA
2024-2025,July,18,MAHARASHTRA,1826,WARDHA,710381,302.766011616602,44,209,64.68092,680,23,14148,1022502,67409,14999,66055,12987,99.78205,3260.25149409999,23060,36769,52625,128758,1879,220313,406402,14828,3095.78852409999,381220,89,80.99,0.2,104.73,NA
2024-2025,July,18,MAHARASHTRA,1828,BHANDARA,3583157,177.926637748662,35,5174,154.48722,4309,8,20783,4519445,540298,59234,309524,33163,205.09415,8400.8779034,125574,204153,187110,451374,4409,285964,629042,25092,8041.2965334,2868783,79,23.35,22.3,100.94,NA
2024-2025,July,18,MAHARASHTRA,1829,CHANDRAPUR,2897976,244.297403014343,40,659,342.307631019,5385,20,32087,3803217,394559,63202,818287,105847,350.75473,9984.222723019,94413,163508,171073,491652,5563,380334,913714,37472,9291.160362,2045771,79,30.14,20.93,102.11,NA
2024-2025,July,18,MAHARASHTRA,1833,GONDIA,3368062,207.820724640782,36,317,1482.275599133,4011,16,37906,5235049,431697,52218,851478,90180,197.72134,12559.513706233,145323,226207,235611,608601,4568,352094,835778,41917,10879.5167671,3525257,80,21.22,16.16,101.84,NA
2024-2025,July,18,MAHARASHTRA,1802,THANE,191772,291.905205518686,29,29,24.89253,1996,29,10699,265353,7779,3327,75255,31643,5.4996,804.97135,9066,15181,28011,90872,280,136527,324416,12695,774.57922,110714,94,51.57,1.77,102.72,NA
2024-2025,July,18,MAHARASHTRA,1803,RAIGAD,75607,313.883589467825,19,51,17.4681291,615,194,18044,105999,2413,2883,21163,13524,6.73644,356.9180351,5578,8468,27290,63640,64,190562,343668,18659,332.713466,43063,68,48.76,6.42,104.76,NA
2024-2025,July,18,MAHARASHTRA,1808,JALGAON,719609,304.651761204095,27,98,278.208131759,2621,94,39076,1195188,56605,30643,84775,35775,98.05263,4017.422053459,42797,63987,134056,330209,1384,666788,1259700,41697,3641.1612917,451866,92,54.86,1.27,102.61,NA
2024-2025,July,18,MAHARASHTRA,1811,SATARA,315403,302.23478102243,32,81,59.73688,1560,453,15182,479661,14744,10886,847,853,32.05665,1541.495903,14929,22207,64733,144672,691,404687,762482,16742,1449.702373,189027,88,67.96,0.35,103.71,NA
2024-2025,July,18,MAHARASHTRA,1814,KOLHAPUR,173558,302.503467529893,25,23,18.63019,524,299,11208,307683,30800,17819,406,289,29.22621,978.608144000001,11931,19075,44604,108168,262,355679,628133,11732,930.751744000001,121001,92,48.99,0.07,112.7,NA
2024-2025,July,18,MAHARASHTRA,1817,PARBHANI,1824861,327.591787798521,36,244,552.636574161,537,47,39330,2854080,96141,20650,18526,2854,197.97559,10100.343861361,77401,122182,142360,320300,3847,414623,802011,39867,9349.73169720002,1101773,90,61.66,0.12,107.78,NA
2024-2025,July,18,MAHARASHTRA,1832,WASHIM,1536064,299.74289187065,37,483,100.89554992,1573,2,26246,1969604,128790,19244,54428,6912,129.39513,6134.03866792,53225,83597,81954,194667,1897,278395,553869,27819,5903.747988,786193,91,64.8,25.62,99.74,NA
2024-2025,July,18,MAHARASHTRA,1802,THANE,191772,292.12804170176,29,29,22.40607,1979,29,10709,263586,7727,3333,74627,31636,5.4996,797.91429,9059,15175,28012,90873,278,136431,324280,12688,770.00862,110018,94,51.53,1.78,102.76,NA
2024-2025,July,18,MAHARASHTRA,1805,SINDHUDURG,185820,299.168234155581,26,74,52.0743782,1267,28,17300,236629,6382,3725,503,301,25.98993,785.983109000009,8923,14276,37576,86516,194,129076,242985,18567,707.918800800009,94199,79,76.73,6.55,100.95,NA
2024-2025,July,18,MAHARASHTRA,1811,SATARA,315403,306.347770070426,31,77,59.73688,1560,453,15138,471988,14551,10886,835,853,32.05665,1537.718243,14753,21945,64663,144514,663,404507,762148,16698,1445.924713,185885,88,67.61,0.35,103.8,NA
2024-2025,July,18,MAHARASHTRA,1816,JALNA,2204874,297.241530645897,37,275,114.2230466,867,47,51124,3217217,80269,19831,14170,3026,136.07148,9813.19958159999,86410,153978,159938,428110,4520,474968,1071277,51991,9562.90505499999,1308343,76,54.61,0.46,100.66,NA
2024-2025,July,18,MAHARASHTRA,1828,BHANDARA,3583157,177.847679928482,36,5175,154.48722,4309,8,20803,4521352,540455,59234,309524,33163,205.09415,8400.7010034,125590,204205,187110,451374,4417,285964,629042,25112,8041.1196334,2869793,79,23.35,22.29,100.94,NA
2024-2025,July,18,MAHARASHTRA,1830,GADCHIROLI,1824407,278.378814853053,34,911,2091.915429422,5641,4,14463,2469903,221764,39032,911579,164863,274.08596,9241.688088842,71716,133261,132534,384991,2981,232390,597290,20104,6875.68669942,1206071,81,37.11,18.48,101.61,NA
2024-2025,Aug,18,MAHARASHTRA,1813,SOLAPUR,496222,351.704807971237,32,105,383.185430911,1956,109,22280,881118,31286,15017,6966,2451,70.49548,3552.615280811,27484,43630,81042,186166,1201,555342,962591,24236,3098.9343699,303161,97,80.88,0,105.89,NA
2024-2025,Aug,18,MAHARASHTRA,1814,KOLHAPUR,180963,299.755099264717,26,25,76.28631,595,267,11411,338237,35612,18090,576,295,29.22621,1119.3951751,12834,20618,45132,109580,277,356363,630197,12006,1013.8826551,133897,92,43.42,0.06,112.13,NA
2024-2025,Aug,18,MAHARASHTRA,1818,BEED,4493149,364.255408292509,36,474,1213.471217535,1102,82,72900,5521850,94233,15551,10422,1849,78.94088,21406.0493603349,150782,258855,257700,631382,8786,677967,1403475,74002,20113.6372627999,2260241,80,40.76,5.44,313.72,NA
