fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,11,GUJARAT,1108,BANAS KANTHA,1696535,236.264335797518,45,479,957.906560067,4820,48,5364,1600935,434312,34818,189452,17110,379.8113,5120.156304367,34949,47771,77597,141308,316,179582,321174,10184,3782.4384443,911411,69,13.83,54.46,99.97,NA
2024-2025,Nov,11,GUJARAT,1110,MAHESANA,598653,268.792412649886,41,51,446.158790831,4301,13,3672,495878,34171,4500,821,85,119.55703,1898.598260831,11829,14823,29790,46037,89,93750,148404,7973,1332.88244,183985,67,51.07,15.43,99.99,NA
2024-2025,Nov,11,GUJARAT,1115,VADODARA,210584,264.773951010138,39,14,18.1392626,1876,14,3206,202695,13311,2753,47798,8549,99.86313,654.6859526,5077,6670,18459,34903,45,127151,239636,5082,536.68356,84671,74,51.39,2.23,100.9,NA
2024-2025,Nov,11,GUJARAT,1122,ANAND,431781,228.050114200373,34,22,284.649894504,1661,0,1817,289929,13472,3065,5563,652,134.09296,1079.926270104,8370,11397,25509,43364,48,43338,70302,3478,661.1834156,148452,75,52.01,14.11,100,NA
2024-2025,Nov,11,GUJARAT,1127,Morbi,145905,200.423766074764,40,1,117.818505976,817,26,806,111899,11345,1187,267,17,50.95872,393.049415976,2776,4345,6186,12119,62,30910,65616,1623,224.27219,50571,56,51.41,7.74,100,NA
2024-2025,July,11,GUJARAT,1104,BHAVNAGAR,322743,233.143811355556,43,77,112.792875274,261,171,2605,538908,23077,3365,2635,371,85.72735,1454.950876174,12381,26200,34951,79236,162,94102,214988,2866,1256.4306509,259640,68,7.06,78.51,99.58,NA
2024-2025,July,11,GUJARAT,1116,BHARUCH,246013,246.275507604602,27,16,71.562004865,1019,132,6389,145241,4401,1771,100630,37022,61.30809,490.563104865,5275,7270,23099,48119,16,121972,244377,7408,357.69301,67450,64,5.19,2.72,99.84,NA
2024-2025,July,11,GUJARAT,1122,ANAND,269071,220.106724801182,29,21,141.770553209,658,26,2229,208482,9259,3143,4233,695,71.13186,671.785315209,7070,9493,25398,43745,39,57950,91532,2887,458.882902,113695,73,57.96,21.36,99.6,NA
2024-2025,July,11,GUJARAT,1126,TAPI,813452,230.48999172297,24,261,238.133164876,3136,6,9876,519510,4002,1723,495785,202103,84.94724,1520.498960876,20985,28207,95289,212094,23,201719,413962,13012,1197.418556,283569,80,19.06,39.17,98.34,NA
2024-2025,July,11,GUJARAT,1129,Chhotaudepur,871415,256.190034160456,35,141,79.9544671,4494,0,5748,417149,9308,2585,327532,105974,99.34601,1247.9946427,11744,15004,64349,125148,70,217707,434821,10242,1068.6941656,157274,76,18.46,12.01,99.87,NA
